"site","channel","audit_schema","contract_id","contract_version","product","source_release","release_doi","source_receipt_id","raw_source_digest","source_normalization","n_plot_event_contexts","n_published_opportunity_keys","n_opportunity_source_records","n_measurement_only_contexts","n_measurement_records_without_opportunity_source","n_channel_measurement_only_contexts_with_records","n_channel_measurement_records_without_opportunity_source","n_opportunity_key_conflict_groups","n_supported_contexts","n_explicit_absences","n_held_contexts","n_sampled_with_records","n_sampled_absence","n_held_sampling_impractical","n_held_dendrometer_only","n_held_missing_area","n_held_opportunity_unknown","n_held_presence_record_conflict","n_held_metric_invalid","n_held_identity_conflict","n_held_opportunity_source_missing","held_reason_counts","n_measurement_records","n_live_measurement_records","n_invalid_metric_records","n_protocol_identity_conflict_keys","n_protocol_identity_conflict_records","n_nonblank_dataqf_records","dataqf_value_counts","dataqf_handling","n_nonblank_tag_status_records","n_non_ok_tag_status_records","non_ok_tag_status_value_counts","n_nonblank_changed_measurement_location_records","n_changed_measurement_location_records","changed_measurement_location_value_counts"
"TREE","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",185,185,185,0,0,0,0,0,37,0,148,37,0,19,0,0,125,4,0,0,0,"[{""status"":""held_opportunity_unknown"",""reason"":""dataCollected=partial"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":124},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":4},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=location flooded"",""count"":1},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":18}]",5197,4840,73,0,0,2247,"[{""value"":""legacyData"",""count"":2246},{""value"":""legacyData | noMapTagData"",""count"":1}]","preserved_and_counted_not_excluded",5188,4,"[{""value"":""replaced"",""count"":1},{""value"":""tagRemoved"",""count"":2},{""value"":""untagged"",""count"":1}]",1263,9,"[{""value"":""boleChange"",""count"":1},{""value"":""branchGrowth"",""count"":6},{""value"":""newRootingPoint"",""count"":2}]"
"UKFS","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",165,165,165,0,0,0,0,0,45,0,120,45,0,13,0,0,106,0,1,0,0,"[{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":105},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":13}]",5402,4625,38,0,0,2496,"[{""value"":""legacyData"",""count"":2496}]","preserved_and_counted_not_excluded",5372,13,"[{""value"":""mislabeled"",""count"":1},{""value"":""replaced"",""count"":11},{""value"":""tagRemoved"",""count"":1}]",1602,40,"[{""value"":""boleChange"",""count"":4},{""value"":""branchGrowth"",""count"":23},{""value"":""damage"",""count"":3},{""value"":""deformityGrowth"",""count"":9},{""value"":""protocolChange"",""count"":1}]"
"UKFS","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",165,165,165,0,0,0,0,0,40,0,125,40,0,13,0,0,106,0,0,6,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":4},{""status"":""held_identity_conflict"",""reason"":""2 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_identity_conflict"",""reason"":""4 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""no records and presence does not establish sampled absence"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":105},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":13}]",6962,6482,39,14,30,1595,"[{""value"":""legacyData"",""count"":1595}]","preserved_and_counted_not_excluded",6855,9,"[{""value"":""tagRemoved"",""count"":8},{""value"":""unknown"",""count"":1}]",2948,57,"[{""value"":""branchGrowth"",""count"":15},{""value"":""deformityGrowth"",""count"":42}]"
"UNDE","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",148,148,148,0,0,0,0,0,25,0,123,25,0,23,0,0,67,0,30,3,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":2},{""status"":""held_identity_conflict"",""reason"":""2 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":16},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":10},{""status"":""held_metric_invalid"",""reason"":""3 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""4 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""6 live channel records lack a finite positive threshold-compatible diameter"",""count"":2},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":2},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":65},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=extreme weather"",""count"":1},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":22}]",7176,5974,127,4,6,2557,"[{""value"":""legacyData"",""count"":2557}]","preserved_and_counted_not_excluded",7169,13,"[{""value"":""mislabeled"",""count"":3},{""value"":""removed"",""count"":1},{""value"":""replaced"",""count"":6},{""value"":""tagRemoved"",""count"":2},{""value"":""unknown"",""count"":1}]",3221,62,"[{""value"":""branchGrowth"",""count"":8},{""value"":""damage"",""count"":10},{""value"":""deformityGrowth"",""count"":35},{""value"":""newRootingPoint"",""count"":1},{""value"":""protocolChange"",""count"":8}]"
"UNDE","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",148,148,148,0,0,0,0,0,50,0,98,50,0,23,0,0,67,0,1,7,0,"[{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":7},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected is missing"",""count"":2},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":65},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=extreme weather"",""count"":1},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":22}]",5111,4733,7,7,11,1430,"[{""value"":""legacyData"",""count"":1430}]","preserved_and_counted_not_excluded",5108,14,"[{""value"":""removed"",""count"":2},{""value"":""replaced"",""count"":6},{""value"":""tagRemoved"",""count"":6}]",2912,32,"[{""value"":""branchGrowth"",""count"":6},{""value"":""damage"",""count"":5},{""value"":""deformityGrowth"",""count"":10},{""value"":""newRootingPoint"",""count"":11}]"
"WOOD","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",50,36,36,14,452,0,0,0,0,0,50,0,0,0,0,0,36,0,0,0,14,"[{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":14},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":36}]",0,0,0,0,0,0,"[]","preserved_and_counted_not_excluded",0,0,"[]",0,0,"[]"
"WOOD","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",50,36,36,14,452,14,452,0,0,0,50,0,0,0,0,0,36,0,0,0,14,"[{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":14},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":36}]",452,411,0,0,0,452,"[{""value"":""legacyData"",""count"":452}]","preserved_and_counted_not_excluded",452,0,"[]",0,0,"[]"
"WREF","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",167,166,166,1,62,1,59,0,30,0,137,30,0,8,58,0,48,0,18,4,1,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":58},{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":4},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":11},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""4 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""5 live channel records lack a finite positive threshold-compatible diameter"",""count"":3},{""status"":""held_metric_invalid"",""reason"":""6 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""7 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected=partial"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":47},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":8}]",4612,3616,74,4,5,1104,"[{""value"":""legacyData"",""count"":1104}]","preserved_and_counted_not_excluded",4609,6,"[{""value"":""replaced"",""count"":3},{""value"":""tagRemoved"",""count"":3}]",2846,16,"[{""value"":""boleChange"",""count"":4},{""value"":""branchGrowth"",""count"":3},{""value"":""damage"",""count"":2},{""value"":""deformityGrowth"",""count"":1},{""value"":""newRootingPoint"",""count"":2},{""value"":""protocolChange"",""count"":4}]"
"WREF","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",167,166,166,1,62,0,0,0,42,0,125,42,0,8,58,0,48,0,0,10,1,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":58},{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":6},{""status"":""held_identity_conflict"",""reason"":""2 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":3},{""status"":""held_identity_conflict"",""reason"":""3 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_opportunity_source_missing"",""reason"":""no published vst_perplotperyear row for this plotID + eventID; sampling effort, absence, and sampled area are unknown"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected=partial"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":47},{""status"":""held_sampling_impractical"",""reason"":""samplingImpractical=logistical"",""count"":8}]",3578,3312,0,15,23,847,"[{""value"":""legacyData"",""count"":847}]","preserved_and_counted_not_excluded",3575,8,"[{""value"":""tagRemoved"",""count"":8}]",2132,19,"[{""value"":""boleChange"",""count"":6},{""value"":""branchGrowth"",""count"":2},{""value"":""damage"",""count"":5},{""value"":""deformityGrowth"",""count"":1},{""value"":""newRootingPoint"",""count"":3},{""value"":""protocolChange"",""count"":2}]"
"YELL","tree_dbh","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",135,135,135,0,0,0,0,0,51,11,84,40,11,0,18,0,60,3,3,0,0,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":18},{""status"":""held_metric_invalid"",""reason"":""1 live channel record lacks a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""2 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_metric_invalid"",""reason"":""3 live channel records lack a finite positive threshold-compatible diameter"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected=partial"",""count"":3},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":57},{""status"":""held_presence_record_conflict"",""reason"":""presence says sampled/present but no measurement records exist"",""count"":3}]",1396,1047,8,0,0,0,"[]","preserved_and_counted_not_excluded",1394,1,"[{""value"":""replaced"",""count"":1}]",850,22,"[{""value"":""boleChange"",""count"":3},{""value"":""branchGrowth"",""count"":4},{""value"":""deformityGrowth"",""count"":14},{""value"":""protocolChange"",""count"":1}]"
"YELL","shrub_sapling_basal","NEON-VST-data-quality-audit-v2","NEON-VST-DP1.10098.001-v2",2,"DP1.10098.001","RELEASE-2026","https://doi.org/10.48443/pypa-qf12","VST-DP1.10098.001-RELEASE-2026-sha256-e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","e8d78dd776fa4188c3f237548b7d2ab185eb5c03bc7b220991d03753ebca3e29","portable-vectors+published-uid-byte-order-v1",135,135,135,0,0,0,0,0,49,0,86,49,0,0,18,0,60,0,0,8,0,"[{""status"":""held_dendrometer_only"",""reason"":""dataCollected=dendrometerOnly cannot scale a plot response"",""count"":18},{""status"":""held_identity_conflict"",""reason"":""1 channel stem locator violates plotID + eventID + individualID + tempStemID uniqueness"",""count"":4},{""status"":""held_identity_conflict"",""reason"":""10 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_identity_conflict"",""reason"":""2 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_identity_conflict"",""reason"":""3 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_identity_conflict"",""reason"":""5 channel stem locators violate plotID + eventID + individualID + tempStemID uniqueness"",""count"":1},{""status"":""held_opportunity_unknown"",""reason"":""dataCollected=partial"",""count"":3},{""status"":""held_opportunity_unknown"",""reason"":""samplingImpractical is missing"",""count"":57}]",6540,5459,0,28,54,0,"[]","preserved_and_counted_not_excluded",6539,9,"[{""value"":""replaced"",""count"":2},{""value"":""tagRemoved"",""count"":7}]",3771,28,"[{""value"":""boleChange"",""count"":3},{""value"":""branchGrowth"",""count"":18},{""value"":""deformityGrowth"",""count"":7}]"
